Timestamp,Microseconds,Report_1_IA,Report_1_IB,Report_1_IC,Report_1_VA_kV,Report_1_VB_kV,Report_1_VC_kV
2019/07/12 13:20:45.615122,21480.795,-5.224105,8.140213,-9.758074,3.24562,7.693322,-10.9446
2019/07/12 13:20:45.615252,21610.982,-6.072633,8.061017,-9.413006,2.569626,8.206681,-10.77772
2019/07/12 13:20:45.615383,21741.168,-5.463107,7.663623,-9.466745,1.974242,8.591347,-10.57973
2019/07/12 13:20:45.615513,21871.355,-4.560839,7.530687,-9.466745,1.475025,8.865705,-10.35063
2019/07/12 13:20:45.615643,22001.542,-4.560839,7.848886,-9.704333,0.9362094,9.161276,-10.09324
2019/07/12 13:20:45.615773,22131.728,-4.640035,8.618217,-10.34073,0.3125412,9.523314,-9.821713
2019/07/12 13:20:45.615903,22261.915,-5.355627,9.386135,-10.8456,-0.2983991,9.849998,-9.554427
2019/07/12 13:20:45.616034,22392.102,-4.879037,9.916466,-11.243,-0.8061017,10.08334,-9.29704
2019/07/12 13:20:45.616164,22522.288,-4.640035,9.891009,-11.66726,-1.206324,10.24173,-9.046723
2019/07/12 13:20:45.616294,22652.475,-4.508512,9.625137,-11.69413,-1.610789,10.3775,-8.759639
2019/07/12 13:20:45.616424,22782.661,-5.648369,10.10314,-10.6066,-2.152433,10.54155,-8.382044
2019/07/12 13:20:45.616554,22912.848,-8.618217,11.11006,-8.697413,-2.860954,10.74944,-7.898383
2019/07/12 13:20:45.616685,23043.035,-10.50054,11.98546,-8.113343,-3.563818,10.95591,-7.416136
2019/07/12 13:20:45.616815,23173.221,-10.39447,12.35598,-7.954951,-4.115362,11.10582,-7.015913
2019/07/12 13:20:45.616945,23303.408,-9.015612,11.42826,-8.512152,-4.522655,11.18501,-6.672259
2019/07/12 13:20:45.617075,23433.595,-6.628418,9.997075,-8.882675,-4.86348,11.20764,-6.348404
2019/07/12 13:20:45.617205,23563.781,-5.860501,8.352345,-8.300019,-5.24956,11.21471,-5.975052
2019/07/12 13:20:45.617335,23693.968,-7.079553,7.476947,-6.443157,-5.71908,11.2331,-5.529575
2019/07/12 13:20:45.617466,23824.155,-8.670544,7.079553,-4.136575,-6.225368,11.23876,-5.023286
2019/07/12 13:20:45.617596,23954.341,-9.758074,7.583013,-3.049044,-6.686402,11.20481,-4.53114
2019/07/12 13:20:45.617726,24084.528,-9.678877,7.636753,-3.129655,-7.08521,11.1341,-4.061621
2019/07/12 13:20:45.617856,24214.714,-9.148547,7.503818,-3.208851,-7.505231,11.01672,-3.518563
